coefname	estimate	se	z	p	subtype	txc	log_normed	normed	l95	u95	color	celltype	x	y	n_cells	total_cells	model
(Intercept)	-8.077329533686042	0.10257988735246425	-78.74184445077773	0	astrocyte	_ctl	0	1	0.8178691776039553	1.2226894317372596	#A9A9A9	glia	8	7	866	1509	3-aso6
subtype_fctBergmann glia	-0.45661539976177423	0.14546219487946854	-3.139065790531556	0.0016948739061587675	Bergmann glia	_ctl	0	1	0.7519385580613915	1.3298958927949478	#A9A9A9	glia	7	8	1016	1854	3-aso6
subtype_fctendothelial stalk	-0.5762738149230812	0.1774283769871556	-3.2479236112541274	0.0011625047589178998	endothelial stalk	_ctl	0	1	0.7062731426317461	1.415882807427387	#A9A9A9	other	12	3	114	221	3-aso6
subtype_fctfibroblast	-0.8274544902288719	0.1744863971033993	-4.742229216518974	2.1137926242684103e-6	fibroblast	_ctl	0	1	0.7103574008550017	1.407742072928892	#A9A9A9	other	13	2	119	203	3-aso6
subtype_fctGolgi	-1.6240469525998558	0.1581067469402754	-10.271838387854107	9.43885833561712e-25	Golgi	_ctl	0	1	0.7335323859746962	1.3632663248688461	#A9A9A9	neuron	4	11	180	324	3-aso6
subtype_fctgranule	-0.667491281325089	0.14347717035946853	-4.652247320272295	3.2833694545697607e-6	granule	_ctl	0	1	0.7548697308744848	1.3247318829985966	#A9A9A9	neuron	1	14	20083	38131	3-aso6
subtype_fctmicroglia	-1.8337799248504683	0.33291767740451783	-5.508208332903572	3.6250424459196466e-8	microglia	_ctl	0	1	0.5207388255078469	1.9203484568771245	#A9A9A9	glia	11	4	60	125	3-aso6
subtype_fctMLI	-0.8231338631771282	0.14474937018674142	-5.686614471035016	1.2958253804513007e-8	MLI	_ctl	0	1	0.7529898336886537	1.3280391782998229	#A9A9A9	neuron	3	12	1483	2973	3-aso6
subtype_fctoligodendrocyte	-0.22072027156037827	0.14558095178323327	-1.51613428032141	0.12948540174179	oligodendrocyte	_ctl	0	1	0.7517635577706006	1.330205474398838	#A9A9A9	glia	9	6	937	1636	3-aso6
subtype_fctOPC	-0.9507813071237347	0.17882230500340132	-5.316905556639873	1.0554681561409935e-7	OPC	_ctl	0	1	0.7043462034487243	1.4197563571772684	#A9A9A9	glia	10	5	99	172	3-aso6
subtype_fctpericyte	-1.585364417550878	0.31292920410797015	-5.0662079369360455	4.058186127495419e-7	pericyte	_ctl	0	1	0.5415445362960283	1.8465701950196818	#A9A9A9	other	14	1	48	85	3-aso6
subtype_fctPLI	-0.8720024319589316	0.15862198886246362	-5.497361609272336	3.855156430225328e-8	PLI	_ctl	0	1	0.7327919980843595	1.3646437223852972	#A9A9A9	neuron	5	10	127	238	3-aso6
subtype_fctPurkinje	-1.743683316260178	0.14834584521321686	-11.754176962313904	6.721245635485002e-32	Purkinje	_ctl	0	1	0.7477007006716497	1.3374335467409795	#A9A9A9	neuron	2	13	327	519	3-aso6
subtype_fctUBC	-1.0251798969937378	0.1828598665406333	-5.606369054009631	2.0661515961677693e-8	UBC	_ctl	0	1	0.6987943733443064	1.4310361361585908	#A9A9A9	neuron	6	9	63	90	3-aso6
subtype_fctastrocyte:txcaso6	-0.7767004377933876	0.14889620418026492	-5.216388436961467	1.8244537605115116e-7	astrocyte	aso6	-0.7767004377933876	0.4599210485607138	0.3435125489362843	0.615777710491797	#41B6C4	glia	8	7	643	1509	3-aso6
subtype_fctBergmann glia:txcaso6	-0.8227753216642906	0.1496921170914701	-5.496450565673607	3.875116576708207e-8	Bergmann glia	aso6	-0.8227753216642906	0.4392110096182024	0.32753299531340024	0.5889675658028226	#41B6C4	glia	7	8	838	1854	3-aso6
subtype_fctendothelial stalk:txcaso6	-0.2688711528727675	0.22139478991613887	-1.2144420967386451	0.22457894839095918	endothelial stalk	aso6	-0.2688711528727675	0.7642417196547493	0.49519831143948373	1.1794575881388578	#41B6C4	other	12	3	107	221	3-aso6
subtype_fctfibroblast:txcaso6	-0.27162981022390786	0.22630653053759284	-1.200273847947071	0.230033003012861	fibroblast	aso6	-0.27162981022390786	0.7621363439570406	0.48910286216925153	1.1875861944541302	#41B6C4	other	13	2	84	203	3-aso6
subtype_fctGolgi:txcaso6	-0.6619627059779688	0.183549698454919	-3.606449433315474	3.1041531549786685e-4	Golgi	aso6	-0.6619627059779688	0.5158379021479608	0.3599775882529553	0.7391814101088686	#41B6C4	neuron	4	11	144	324	3-aso6
subtype_fctgranule:txcaso6	-0.4833959905056623	0.14203797555374745	-3.403286963370893	6.65803123508358e-4	granule	aso6	-0.4833959905056623	0.6166855733843617	0.46683224370923665	0.8146418794869426	#41B6C4	neuron	1	14	18048	38131	3-aso6
subtype_fctmicroglia:txcaso6	-1.3563755477640629	0.6668166871598098	-2.0341055853615626	0.04194095095577433	microglia	aso6	-1.3563755477640629	0.25759271955096097	0.06971691979958906	0.9517633503660776	#41B6C4	glia	11	4	65	125	3-aso6
subtype_fctMLI:txcaso6	-1.1816547810162765	0.14763756367076641	-8.003754272533115	1.2068210125736879e-15	MLI	aso6	-1.1816547810162765	0.3067706800565408	0.22969129010442366	0.4097162330342106	#41B6C4	neuron	3	12	1490	2973	3-aso6
subtype_fctoligodendrocyte:txcaso6	-0.9031266980778883	0.1519401238216036	-5.943964473388676	2.7820992224821246e-9	oligodendrocyte	aso6	-0.9031266980778883	0.40530042445874753	0.3009160765449543	0.545894509700284	#41B6C4	glia	9	6	699	1636	3-aso6
subtype_fctOPC:txcaso6	-1.065491195684062	0.2694655300442913	-3.9540908831973063	7.682620517124982e-5	OPC	aso6	-1.065491195684062	0.34455856751277064	0.2031859052428672	0.5842954820342794	#41B6C4	glia	10	5	73	172	3-aso6
subtype_fctpericyte:txcaso6	-0.3928331094812628	0.4953411824995718	-0.7930556217816643	0.42774541699557594	pericyte	aso6	-0.3928331094812628	0.675141412885104	0.2557169814589681	1.7825015952866388	#41B6C4	other	14	1	37	85	3-aso6
