coefname	estimate	se	z	p	subtype	txc	log_normed	normed	l95	u95	color	celltype	x	y	n_cells	total_cells	model
(Intercept)	-6.901415442952794	0.12434805036793312	-55.500793317886476	0	astrocyte	_ctl	0	1	0.7837088438335503	1.2759840696813511	#A9A9A9	glia	3	7	4898	6985	3-aso6
subtype_fctendothelial stalk	-1.342198195845051	0.1834316123881634	-7.317158576814982	2.532764932443739e-13	endothelial stalk	_ctl	0	1	0.6980117420731357	1.4326406559149587	#A9A9A9	other	7	3	491	759	3-aso6
subtype_fctependymal	-0.7182552548641579	0.27632816145638106	-2.5992835875960325	0.009341856197991022	ependymal	_ctl	0	1	0.5818205312420198	1.718743059591395	#A9A9A9	other	9	1	39	297	3-aso6
subtype_fctexcitatory	-1.5671659255443033	0.17570796249985443	-8.919151433137822	4.698745099891005e-19	excitatory	_ctl	0	1	0.7086586803584566	1.4111165610702405	#A9A9A9	neuron	1	9	20105	30769	3-aso6
subtype_fctinhibitory	-1.406911146491998	0.1793103691126765	-7.846234177388324	4.287160685668159e-15	inhibitory	_ctl	0	1	0.7036727564259495	1.421115128968666	#A9A9A9	neuron	2	8	2147	3466	3-aso6
subtype_fctmicroglia	-1.7176822858057605	0.18816229238937043	-9.128727461777007	6.930916463461295e-20	microglia	_ctl	0	1	0.6915697146977902	1.4459858185620391	#A9A9A9	glia	6	4	710	936	3-aso6
subtype_fctoligodendrocyte	-1.1022938213659164	0.17622433291921505	-6.255060258172355	3.9736245538771055e-10	oligodendrocyte	_ctl	0	1	0.7079418328031027	1.4125454291074875	#A9A9A9	glia	4	6	6111	9613	3-aso6
subtype_fctOPC	-1.5216976843077552	0.17927312176446125	-8.48815298875112	2.0994706985103757e-17	OPC	_ctl	0	1	0.7037241288477547	1.4210113864325695	#A9A9A9	glia	5	5	1046	1470	3-aso6
subtype_fctpericyte	-2.093040608382619	0.21547370142249914	-9.713670831126633	2.6366649463955983e-22	pericyte	_ctl	0	1	0.6555237828725818	1.5254976648107	#A9A9A9	other	8	2	312	487	3-aso6
subtype_fctastrocyte:txcaso6	-0.8537220733819539	0.19105957283443312	-4.468355396783838	7.882326916440382e-6	astrocyte	aso6	-0.8537220733819539	0.425827019204572	0.29282153384722626	0.6192462962073529	#41B6C4	glia	3	7	2087	6985	3-aso6
subtype_fctendothelial stalk:txcaso6	-0.45636058731686324	0.21340135245145264	-2.1385084118465563	0.032475502148190505	endothelial stalk	aso6	-0.45636058731686324	0.6335853330679424	0.4170206440165409	0.9626151127973728	#41B6C4	other	7	3	268	759	3-aso6
subtype_fctependymal:txcaso6	-0.7872905980726279	0.2993760411171493	-2.6297715579870067	0.008544226142335116	ependymal	aso6	-0.7872905980726279	0.45507611055616715	0.2530781723152349	0.8183015726104249	#41B6C4	other	9	1	258	297	3-aso6
subtype_fctexcitatory:txcaso6	-0.6665708324518788	0.1897553047631774	-3.5127915569147707	4.434252016999861e-4	excitatory	aso6	-0.6665708324518788	0.5134663243167904	0.3539907855654985	0.7447868050752212	#41B6C4	neuron	1	9	10664	30769	3-aso6
subtype_fctinhibitory:txcaso6	-0.600963153306257	0.19539078548557157	-3.0756985382539166	0.0021001005962254056	inhibitory	aso6	-0.600963153306257	0.548283300826983	0.3738419906363816	0.8041220234623815	#41B6C4	neuron	2	8	1319	3466	3-aso6
subtype_fctmicroglia:txcaso6	-1.0717717753163185	0.28442225943163946	-3.768241548527314	1.6440158125377748e-4	microglia	aso6	-1.0717717753163185	0.3424013214605045	0.19608066266493873	0.5979103872075153	#41B6C4	glia	6	4	226	936	3-aso6
subtype_fctoligodendrocyte:txcaso6	-0.9660750166223843	0.1919158124120543	-5.033847938220774	4.807310549333373e-7	oligodendrocyte	aso6	-0.9660750166223843	0.38057385653156645	0.2612642068188661	0.5543677874548049	#41B6C4	glia	4	6	3502	9613	3-aso6
subtype_fctOPC:txcaso6	-1.0284289356333998	0.21492254482526962	-4.7851142674190115	1.7089008230637934e-6	OPC	aso6	-1.0284289356333998	0.35756828230435744	0.23464785385048526	0.5448806558936455	#41B6C4	glia	5	5	424	1470	3-aso6
subtype_fctpericyte:txcaso6	-0.4237365863326787	0.29680862285801635	-1.4276424392676104	0.1533948016990286	pericyte	aso6	-0.4237365863326787	0.654596288809745	0.3658723424893084	1.1711634129218516	#41B6C4	other	8	2	175	487	3-aso6
