coefname	estimate	se	z	p	subtype	txc	log_normed	normed	l95	u95	color	celltype	x	y	n_cells	total_cells	model
(Intercept)	-9.334444880465295	0.1032934725604532	-90.36819703202687	0	astrocyte	_ctl	0	1	0.8167261042410254	1.2244006831755292	#A9A9A9	glia	7	6	1113	2149	13-aso7
subtype_fctBergmann glia	-0.690706660897228	0.14967595594522926	-4.614680137068758	3.9370117836147e-6	Bergmann glia	_ctl	0	1	0.7457540066145546	1.3409247434547855	#A9A9A9	glia	6	7	1412	3247	13-aso7
subtype_fctendothelial stalk	-0.23939873271776876	0.16720992456510106	-1.431725618801783	0.15222236158606112	endothelial stalk	_ctl	0	1	0.7205608369319293	1.3878078695726688	#A9A9A9	other	11	2	350	968	13-aso7
subtype_fctGolgi	-0.8871241398815563	0.1708638860573019	-5.191993231290813	2.08054569346624e-7	Golgi	_ctl	0	1	0.7154188791016339	1.3977825148474141	#A9A9A9	neuron	4	9	127	333	13-aso7
subtype_fctgranule	0.6287519727352359	0.14241450036729358	4.414943500231054	1.0103637534821567e-5	granule	_ctl	0	1	0.756443608172112	1.3219756095453346	#A9A9A9	neuron	1	12	21064	44398	13-aso7
subtype_fctmicroglia	0.15304344911751763	0.17300374587914405	0.884625060225169	0.3763588859921048	microglia	_ctl	0	1	0.7124246611879479	1.4036571927935908	#A9A9A9	glia	10	3	196	538	13-aso7
subtype_fctMLI	0.43064465233294885	0.14319966175698468	3.0073021615356144	0.002635776273768393	MLI	_ctl	0	1	0.7552804213828146	1.3240115481467631	#A9A9A9	neuron	3	10	2048	5656	13-aso7
subtype_fctoligodendrocyte	0.38280445512336686	0.1470938211723162	2.602450953224761	0.009256005366967248	oligodendrocyte	_ctl	0	1	0.7495377529610232	1.3341556126419707	#A9A9A9	glia	8	5	852	1683	13-aso7
subtype_fctOPC	-0.6416637374074364	0.16420334162768296	-3.907738606576924	9.316401878155128e-5	OPC	_ctl	0	1	0.7248194890627476	1.3796538518757047	#A9A9A9	glia	9	4	381	816	13-aso7
subtype_fctpericyte/fibroblast	-0.396770416902918	0.20326642822620533	-1.9519721990754493	0.05094150537349728	pericyte/fibroblast	_ctl	0	1	0.6713968550668697	1.489432058630066	#A9A9A9	other	12	1	164	680	13-aso7
subtype_fctPurkinje	-0.527726596369588	0.16104011963421117	-3.2769883527674577	0.0010492069739547714	Purkinje	_ctl	0	1	0.7293271847578334	1.3711267328284782	#A9A9A9	neuron	2	11	89	249	13-aso7
subtype_fctUBC	-0.3771620870941031	0.18295349900387328	-2.061518851225241	0.03925356690667419	UBC	_ctl	0	1	0.6986661449837364	1.4312987786509652	#A9A9A9	neuron	5	8	86	138	13-aso7
subtype_fctastrocyte:txcaso7	-0.7726542660796278	0.15096300071081303	-5.118169766376967	3.085148462098588e-7	astrocyte	aso7	-0.7726542660796278	0.4617857379807757	0.3435109430018725	0.6207839143025123	#FF6600	glia	7	6	1036	2149	13-aso7
