coefname	estimate	se	z	p	subtype	txc	log_normed	normed	l95	u95	color	celltype	x	y	n_cells	total_cells	model
(Intercept)	-7.4138075911413805	0.12718217065024526	-58.29282165288381	0	astrocyte	_ctl	0	1	0.7793675870861082	1.2830915944795576	#A9A9A9	glia	3	7	1665	3799	2-aso1
subtype_fctendothelial stalk	-1.1562723941344892	0.19215588066757594	-6.017366682286485	1.7727720780352775e-9	endothelial stalk	_ctl	0	1	0.6861777283898318	1.4573483787452208	#A9A9A9	other	7	3	313	693	2-aso1
subtype_fctexcitatory	-1.356551561929922	0.17932079363285772	-7.564942885024992	3.880350632906828e-14	excitatory	_ctl	0	1	0.703658379353347	1.4211441650406937	#A9A9A9	neuron	1	9	21986	41345	2-aso1
subtype_fctfibroblast	-1.5536331323682324	0.23360399836440598	-6.650712929770461	2.916766915902465e-11	fibroblast	_ctl	0	1	0.6326389343574691	1.580680457195756	#A9A9A9	other	9	1	126	564	2-aso1
subtype_fctinhibitory	-1.7853121474617872	0.18024863708509414	-9.904719260756206	3.970836911286957e-23	inhibitory	_ctl	0	1	0.7023799114449899	1.4237309235435325	#A9A9A9	neuron	2	8	2784	5500	2-aso1
subtype_fctmicroglia	-1.5049324539521205	0.19731393868012326	-7.62709651441225	2.400998404563724e-14	microglia	_ctl	0	1	0.6792756878289345	1.4721563246229932	#A9A9A9	glia	6	4	326	849	2-aso1
subtype_fctoligodendrocyte	-0.6511098402002512	0.183523479052767	-3.547828558835477	3.8842096014626756e-4	oligodendrocyte	_ctl	0	1	0.6978860726358855	1.4328986337598675	#A9A9A9	glia	4	6	788	1439	2-aso1
subtype_fctOPC	-1.2814586141452995	0.19335883441934695	-6.627360047931072	3.4174337813739114e-11	OPC	_ctl	0	1	0.6845618012972652	1.4607884899580577	#A9A9A9	glia	5	5	244	579	2-aso1
subtype_fctpericyte	-1.8192546725300796	0.2542542251718249	-7.155258369062021	8.351547403003825e-13	pericyte	_ctl	0	1	0.6075449442169183	1.6459687625068264	#A9A9A9	other	8	2	136	308	2-aso1
subtype_fctastrocyte:txcaso1	-1.0788870820636929	0.18064288676295112	-5.972485833220015	2.3366544268672994e-9	astrocyte	aso1	-1.0788870820636929	0.3399736779837481	0.23860623592491306	0.4844052012042542	#0909FF	glia	3	7	2134	3799	2-aso1
