animal_short	species	treatment	weeks	region	estimated_number_of_cells	mean_reads_per_cell	median_genes_per_cell	number_of_reads	valid_barcodes	sequencing_saturation	q30_bases_in_barcode	q30_bases_in_rna_read	q30_bases_in_umi	reads_mapped_to_genome	reads_mapped_confidently_to_genome	reads_mapped_confidently_to_intergenic_regions	reads_mapped_confidently_to_intronic_regions	reads_mapped_confidently_to_exonic_regions	reads_mapped_confidently_to_transcriptome	reads_mapped_antisense_to_gene	fraction_reads_in_cells	total_genes_detected	median_umi_counts_per_cell
b1_02wk	mouse	ASO 1	2	cortex	6783	84244	3575	571429131	97.1%	71.5%	95.7%	92.5%	95.1%	93.5%	91.2%	5.4%	47.1%	38.8%	54.3%	31.3%	77.3%	26115	8784
b2_02wk	mouse	ASO 1	2	cortex	8282	77804	4399	644371039	96.3%	56.1%	97.0%	94.4%	96.7%	94.5%	92.4%	6.0%	60.2%	26.2%	47.3%	38.9%	89.3%	26979	13196
b3_02wk	mouse	ASO 1	2	cortex	6459	90007	3650	581355259	96.5%	72.9%	93.4%	90.2%	92.7%	94.0%	92.1%	5.5%	55.1%	31.5%	51.2%	35.2%	86.1%	26191	9725
b4_02wk	mouse	ASO 1	2	cortex	7468	67568	3997	504594975	96.3%	49.3%	97.0%	94.5%	96.7%	94.6%	92.6%	5.9%	63.0%	23.7%	43.3%	43.1%	89.2%	26662	11960
b1_12wk	mouse	ASO 1	12	cortex	6989	86361	3631	603576628	97.2%	75.4%	95.8%	93.3%	95.2%	93.6%	91.2%	5.3%	42.5%	43.4%	59.3%	26.4%	76.2%	26144	8409
b2_12wk	mouse	ASO 1	12	cortex	1176	344119	6142	404683515	95.5%	81.7%	94.6%	93.0%	94.3%	94.9%	92.9%	6.1%	64.3%	22.5%	45.7%	40.8%	91.3%	25118	25805
b3_12wk	mouse	ASO 1	12	cortex	8535	62304	3659	531760684	96.6%	60.1%	93.5%	90.2%	92.8%	94.1%	92.1%	5.5%	54.8%	31.8%	49.5%	36.9%	84.1%	26344	9101
b4_12wk	mouse	ASO 1	12	cortex	9314	81515	4378	759229525	96.1%	61.2%	97.2%	94.2%	96.9%	94.6%	92.5%	5.9%	59.7%	26.9%	47.8%	38.5%	89.7%	27092	12492
c1_02wk	mouse	ASO 6	2	cortex	6910	107034	3968	739602306	97.2%	74.2%	95.9%	93.2%	95.4%	92.4%	89.9%	5.3%	46.3%	38.3%	52.5%	31.9%	80.2%	26231	10378
c2_02wk	mouse	ASO 6	2	cortex	8851	80899	4321	716033188	96.3%	60.5%	97.1%	93.8%	96.9%	94.4%	92.4%	6.0%	59.5%	26.9%	49.3%	36.8%	91.2%	27032	12940
c3_02wk	mouse	ASO 6	2	cortex	7760	71373	3180	553857639	96.6%	70.8%	93.6%	90.6%	93.0%	94.3%	92.4%	5.4%	54.2%	32.9%	52.4%	34.4%	87.6%	26341	7640
c4_02wk	mouse	ASO 6	2	cortex	842	348062	3510	293067991	96.1%	90.7%	93.3%	91.2%	92.6%	94.8%	92.9%	5.6%	54.2%	33.1%	54.3%	32.7%	84.6%	23559	9075
b41	mouse	ASO 6	3	cerebellum	7543	80730	2227	608944182	95.8%	84.3%	96.7%	94.3%	96.6%	94.1%	91.8%	4.7%	53.0%	34.0%	60.8%	26.0%	86.8%	24957	5147
b42	mouse	ASO 6	3	cerebellum	5888	83775	2148	493267915	95.3%	82.8%	96.6%	94.1%	96.4%	92.5%	90.0%	4.6%	50.7%	34.6%	51.2%	33.9%	88.3%	24803	4645
