aggr	weeks	treatment	region	prnp_qpcr_mean	prnp_qpcr_l95	prnp_qpcr_u95	prnp_sc_mean	prnp_sc_l95	prnp_sc_u95	malat1_qpcr_mean	malat1_qpcr_l95	malat1_qpcr_u95	malat1_sc_mean	malat1_sc_l95	malat1_sc_u95
cyno_cerebellum_full	13	aCSF	cerebellum	1	0.9447143019360827	1.0552856980639174	1	0.7892751205723226	1.2107248794276773						
cyno_cerebellum_full	13	ASO N	cerebellum	0.7769992365870371	0.6575698502177002	0.8964286229563739	0.5312920081028193	0.43942294848368457	0.623161067721954						
cyno_cortex_full	13	aCSF	cortex	0.9999999999999998	0.9193916602888214	1.080608339711178	1	0.729333528873066	1.270666471126934						
cyno_cortex_full	13	ASO N	cortex	0.3031093184657252	0.18904377292879299	0.4171748640026574	0.3058257298896513	0.215616134882208	0.3960353248970946						
mouse_cerebellum_full	3	ASO 6	cerebellum	0.6472163336216991	0.6122928629137623	0.6821398043296358	0.5641520326102768	0.3916294542408766	0.736674610979677				0.7660051269086525	0.5252535742938047	1.0067566795235003
mouse_cerebellum_full	3	PBS	cerebellum	0.9999999999999999	0.9403244427494744	1.0596755572505254	1	0.887931115427589	1.1120688845724112				0.9999999999999999	0.9053059858190531	1.0946940141809467
mouse_cerebellum_full	12	ASO 6	cerebellum	0.7987351168866252	0.7707293112718662	0.8267409225013843	0.8485806524125022	0.7962080065105706	0.9009532983144339				0.9278011846020802	0.8828531852405728	0.9727491839635876
mouse_cerebellum_full	12	Malat1 ASO	cerebellum	1.019225411961372	0.9006885942518037	1.1377622296709402	1.2871164878515677	1.059291678036284	1.5149412976668515	0.5236350667572225	0.48316438338427503	0.56410575013017	0.4544045637562383	0.4387737423284691	0.47003538518400745
mouse_cerebellum_full	12	PBS	cerebellum	1	0.9582287086709087	1.0417712913290913	1	0.9055057233811233	1.0944942766188768	1	0.9666788787110964	1.0333211212889035	1	0.8937537841451599	1.10624621585484
mouse_cortex_full	2	ASO 1	cortex	0.47061634623637366	0.36349706774362056	0.5777356247291268	0.4602397001408997	0.30882787990631577	0.6116515203754836				0.9298978310720927	0.71745448032087	1.1423411818233153
mouse_cortex_full	2	ASO 6	cortex	0.3082600169546974	0.27723195205951207	0.33928808184988274	0.43505370545869915	0.3557028812614199	0.5144045296559784				0.8808600456715839	0.6457654773267023	1.1159546140164656
mouse_cortex_full	2	PBS	cortex	1	0.9155719559466715	1.0844280440533285	1	0.7166437538136292	1.2833562461863708				1	0.803480600640414	1.196519399359586
mouse_cortex_full	3	ASO 6	cortex	0.6058059458767864	0.5469684183091613	0.6646434734444114	0.585767006568584	0.4839465230987127	0.6875874900384554				1.072235521082696	0.9622135286523176	1.1822575135130744
mouse_cortex_full	3	PBS	cortex	1	0.9301075944351835	1.0698924055648165	1	0.9409908298843384	1.0590091701156616				1	0.907892964970831	1.0921070350291688
mouse_cortex_full	12	ASO 1	cortex	0.9134543714783024	0.8831566299648111	0.9437521129917937	0.7663921722352955	0.5274656090125955	1.0053187354579955	0.5858533489189173	0.4934156764947426	0.6782910213430919	0.6335632620362951	0.32473121223683515	0.9423953118357551
mouse_cortex_full	12	ASO 6	cortex	0.6474623490526409	0.576624019479228	0.7183006786260537	0.5716638686020034	0.4979045040380025	0.6454232331660041				0.7909889514960814	0.6180324290949101	0.9639454738972527
mouse_cortex_full	12	PBS	cortex	0.9999999999999999	0.8340354592068498	1.16596454079315	1	0.9412649725873498	1.0587350274126504	1	0.8967396170616952	1.1032603829383048	1	0.9508733511311155	1.0491266488688846
mouse_thalamus_full	3	ASO 6	thalamus	0.38950843986623435	0.3834525183521149	0.3955643613803538	0.4589927849334934	0.24163879395829024	0.6763467759086965				0.8003122853965543	0.34198302852674206	1.2586415422663666
mouse_thalamus_full	3	PBS	thalamus	1	0.9130001817362807	1.0869998182637193	1	0.8064817228309429	1.1935182771690571				1	0.8566832494036669	1.143316750596333
